Time[s] Temp[graderC] Pressure[mbar] altitude[m] accX[mg] accY[mg] accZ[mg] gyroX[degrees/s] gyroY[degrees/s] gyroZ[degrees/s] magX[µT] magY[µT] magZ[µT]
0.02 23.94 1022.17 28.13 0.033672 -0.038064 1.013088 0.56 0.00 -0.84 -0.1320 -0.4905 -0.6345
0.03 23.94 1022.12 28.15 0.034160 -0.037576 1.013088 0.56 0.07 -0.84 -0.1290 -0.4920 -0.6360
0.04 23.94 1022.11 28.17 0.031720 -0.038064 1.014064 0.56 0.07 -0.77 -0.1320 -0.4920 -0.6315
0.05 23.94 1022.09 28.20 0.032696 -0.037576 1.012112 0.56 0.00 -0.77 -0.1320 -0.4935 -0.6345
0.06 23.94 1022.09 28.23 0.033672 -0.037088 1.012600 0.63 0.07 -0.77 -0.1290 -0.4920 -0.6360
0.07 23.94 1022.14 28.23 0.034160 -0.036600 1.012600 0.63 0.07 -0.84 -0.1380 -0.4920 -0.6360
0.08 23.88 1022.18 28.22 0.034160 -0.037576 1.013088 0.56 0.07 -0.77 -0.1380 -0.4905 -0.6420
0.10 23.88 1022.20 28.20 0.033184 -0.036112 1.012112 0.63 0.07 -0.77 -0.1350 -0.4860 -0.6330
0.12 23.88 1022.16 28.20 0.034160 -0.037576 1.012112 0.63 0.00 -0.77 -0.1410 -0.4905 -0.6270
0.13 23.88 1022.25 28.16 0.034160 -0.037576 1.012600 0.63 0.07 -0.77 -0.1320 -0.4965 -0.6330
0.15 23.88 1022.15 28.16 0.032696 -0.036112 1.013088 0.56 0.07 -0.77 -0.1305 -0.4890 -0.6300
0.16 23.88 1022.09 28.19 0.032696 -0.036112 1.012112 0.56 0.07 -0.77 -0.1365 -0.4890 -0.6345
0.18 23.88 1022.15 28.20 0.032208 -0.036600 1.011624 0.56 0.07 -0.77 -0.1320 -0.4935 -0.6360
0.19 23.88 1022.11 28.22 0.032208 -0.036600 1.013088 0.63 0.07 -0.84 -0.1320 -0.4905 -0.6285
0.20 23.88 1022.25 28.18 0.032208 -0.037576 1.012600 0.63 0.07 -0.77 -0.1380 -0.4950 -0.6300
0.21 23.88 1022.28 28.13 0.032696 -0.037088 1.013576 0.63 0.07 -0.84 -0.1395 -0.4935 -0.6270
0.23 23.88 1022.19 28.12 0.032208 -0.035624 1.011136 0.49 0.07 -0.77 -0.1350 -0.4905 -0.6330
0.25 23.88 1022.09 28.15 0.033184 -0.036600 1.010648 0.63 0.07 -0.77 -0.1290 -0.4860 -0.6270
0.27 23.88 1022.19 28.13 0.032696 -0.038064 1.013088 0.56 0.00 -0.77 -0.1365 -0.4890 -0.6345
0.28 23.88 1022.20 28.12 0.033672 -0.037576 1.011136 0.63 0.07 -0.77 -0.1410 -0.4890 -0.6345
0.30 23.88 1022.18 28.11 0.034160 -0.037576 1.012600 0.56 0.07 -0.84 -0.1395 -0.4875 -0.6330
0.31 23.88 1022.21 28.09 0.031720 -0.037576 1.011624 0.56 0.07 -0.84 -0.1305 -0.4965 -0.6345
0.33 23.88 1022.19 28.08 0.034160 -0.036112 1.011136 0.56 0.07 -0.77 -0.1455 -0.4920 -0.6285
0.34 23.88 1022.19 28.07 0.033184 -0.038064 1.012112 0.56 0.07 -0.84 -0.1380 -0.4920 -0.6330
0.35 23.88 1022.14 28.09 0.034160 -0.036112 1.011624 0.56 0.07 -0.84 -0.1365 -0.4905 -0.6360
0.37 23.88 1022.17 28.09 0.033672 -0.037576 1.011624 0.56 0.14 -0.77 -0.1380 -0.4905 -0.6405
0.38 23.88 1022.17 28.09 0.032208 -0.035624 1.012112 0.63 0.07 -0.77 -0.1395 -0.4845 -0.6405
0.39 23.88 1022.14 28.11 0.031720 -0.035136 1.013088 0.56 0.07 -0.84 -0.1380 -0.4890 -0.6345
0.41 23.88 1022.06 28.15 0.034160 -0.037088 1.011136 0.63 0.07 -0.77 -0.1335 -0.4905 -0.6330
0.43 23.88 1022.25 28.11 0.034160 -0.035136 1.011624 0.56 0.07 -0.77 -0.1245 -0.4905 -0.6390
